ts_code,avg_weight,observations,rank,size_group
601318.SH,5.788395833333333,48,1,Large
600519.SH,2.8076458333333334,48,2,Large
600036.SH,2.5379375,48,3,Large
601166.SH,2.113,48,4,Large
600016.SH,1.911625,48,5,Large
000651.SZ,1.7326666666666668,48,6,Large
000333.SZ,1.6830833333333333,48,7,Large
601328.SH,1.5552916666666665,48,8,Large
000002.SZ,1.5170000000000001,48,9,Large
600030.SH,1.3900208333333335,48,10,Large
600000.SH,1.379875,48,11,Large
600887.SH,1.3704583333333333,48,12,Large
601288.SH,1.3066250000000001,48,13,Large
601668.SH,1.15925,48,14,Large
000858.SZ,1.154375,48,15,Large
600276.SH,1.1505416666666666,48,16,Large
601398.SH,1.1198124999999999,48,17,Large
300498.SZ,1.1162857142857143,7,18,Large
600837.SH,1.0629166666666667,48,19,Large
601169.SH,0.982625,48,20,Large
601601.SH,0.9821666666666666,48,21,Large
600900.SH,0.9581458333333334,48,22,Large
600104.SH,0.8918333333333334,48,23,Large
002415.SZ,0.8853125,48,24,Large
000001.SZ,0.8698125,48,25,Large
601766.SH,0.8205208333333333,48,26,Large
000725.SZ,0.8109583333333333,48,27,Large
600048.SH,0.7819791666666666,48,28,Large
601988.SH,0.7509583333333333,48,29,Large
601211.SH,0.6196458333333333,48,30,Large
601818.SH,0.6130833333333333,48,31,Large
600028.SH,0.6062708333333333,48,32,Large
601688.SH,0.5923333333333333,48,33,Large
002304.SZ,0.5530208333333334,48,34,Large
600585.SH,0.5340208333333333,48,35,Large
601989.SH,0.5275208333333333,48,36,Large
600015.SH,0.5248125,48,37,Large
600019.SH,0.5169166666666667,48,38,Large
000063.SZ,0.511625,48,39,Large
600518.SH,0.5115365853658537,41,40,Large
603288.SH,0.5112916666666667,24,41,Large
600050.SH,0.5027083333333333,48,42,Large
601390.SH,0.48841666666666667,48,43,Large
300104.SZ,0.472695652173913,23,44,Large
300059.SZ,0.4605416666666667,48,45,Large
601006.SH,0.4529166666666667,48,46,Large
601186.SH,0.45208333333333334,48,47,Large
000776.SZ,0.4520416666666667,48,48,Large
600690.SH,0.44864583333333335,48,49,Large
601857.SH,0.44075,48,50,Large
600309.SH,0.43383333333333335,48,51,Large
601939.SH,0.43347916666666664,48,52,Large
002024.SZ,0.4310416666666667,48,53,Large
601888.SH,0.4305208333333333,48,54,Large
001979.SZ,0.42822916666666666,48,55,Large
600009.SH,0.42310416666666667,48,56,Large
601012.SH,0.42196,25,57,Large
600999.SH,0.4174791666666667,48,58,Large
002142.SZ,0.4141666666666666,48,59,Large
601628.SH,0.41120833333333334,48,60,Large
000538.SZ,0.40752083333333333,48,61,Large
601009.SH,0.40604166666666663,48,62,Large
601229.SH,0.4022903225806452,31,63,Large
002450.SZ,0.39760975609756094,41,64,Large
601088.SH,0.38399999999999995,48,65,Large
002230.SZ,0.38387499999999997,48,66,Large
600031.SH,0.3824375,48,67,Large
601336.SH,0.37618749999999995,48,68,Large
002594.SZ,0.37572916666666667,48,69,Large
000661.SZ,0.37153846153846154,13,70,Large
601899.SH,0.3700208333333333,48,71,Large
600958.SH,0.36754166666666666,48,72,Large
600919.SH,0.363483870967742,31,73,Large
600703.SH,0.35354166666666664,48,74,Large
002475.SZ,0.3519583333333334,48,75,Large
000338.SZ,0.3489583333333333,48,76,Large
000568.SZ,0.3463541666666667,48,77,Large
000166.SZ,0.3405416666666667,48,78,Large
002027.SZ,0.3373720930232558,43,79,Large
600340.SH,0.33266666666666667,48,80,Large
600795.SH,0.3279375,48,81,Large
601377.SH,0.32639583333333333,48,82,Large
601985.SH,0.3008125,48,83,Large
601669.SH,0.295125,48,84,Large
000100.SZ,0.29320833333333335,48,85,Large
600660.SH,0.29120833333333335,48,86,Large
601901.SH,0.2910625,48,87,Large
002736.SZ,0.2891458333333333,48,88,Large
000783.SZ,0.28729166666666667,48,89,Large
600741.SH,0.2872708333333333,48,90,Large
600570.SH,0.2842708333333333,48,91,Large
600011.SH,0.2836944444444444,36,92,Large
601600.SH,0.2833125,48,93,Large
600196.SH,0.283125,48,94,Large
600010.SH,0.28089583333333334,48,95,Large
002008.SZ,0.28020833333333334,48,96,Large
600089.SH,0.2756041666666667,48,97,Large
601099.SH,0.27542857142857147,35,98,Large
600886.SH,0.2750625,48,99,Large
002236.SZ,0.2748541666666667,48,100,Large
002202.SZ,0.2732291666666667,48,101,Large
600406.SH,0.27139583333333334,48,102,Large
600637.SH,0.26916666666666667,48,103,Large
600029.SH,0.2670416666666667,48,104,Large
300142.SZ,0.26692307692307693,13,105,Large
601933.SH,0.263625,48,106,Large
600111.SH,0.2610208333333333,48,107,Large
002456.SZ,0.260875,48,108,Large
600383.SH,0.25858333333333333,48,109,Large
600352.SH,0.25752083333333337,48,110,Large
000423.SZ,0.2553125,48,111,Large
002241.SZ,0.25416666666666665,48,112,Large
002466.SZ,0.25391891891891893,37,113,Large
600271.SH,0.25266666666666665,48,114,Large
000069.SZ,0.24856250000000002,48,115,Large
600705.SH,0.24602083333333333,48,116,Large
300003.SZ,0.24466666666666667,36,117,Large
300070.SZ,0.24445833333333333,48,118,Large
600436.SH,0.24158064516129032,31,119,Large
600066.SH,0.2403125,48,120,Large
300347.SZ,0.24,1,121,Medium
000625.SZ,0.23960416666666665,48,122,Medium
600893.SH,0.23810416666666667,48,123,Medium
600547.SH,0.236,48,124,Medium
600485.SH,0.2337241379310345,29,125,Medium
601607.SH,0.233125,48,126,Medium
002714.SZ,0.23151351351351354,37,127,Medium
601555.SH,0.23127083333333334,48,128,Medium
601788.SH,0.23014583333333336,48,129,Medium
000895.SZ,0.229375,48,130,Medium
600221.SH,0.22891666666666666,48,131,Medium
000768.SZ,0.22858333333333333,48,132,Medium
300124.SZ,0.22845833333333332,48,133,Medium
002044.SZ,0.2284516129032258,31,134,Medium
300015.SZ,0.22835714285714284,42,135,Medium
000503.SZ,0.22736585365853662,41,136,Medium
601225.SH,0.22624999999999998,48,137,Medium
600115.SH,0.22429166666666667,48,138,Medium
002673.SZ,0.22085416666666666,48,139,Medium
000963.SZ,0.22054166666666666,48,140,Medium
300136.SZ,0.2198,25,141,Medium
601727.SH,0.2195,48,142,Medium
600535.SH,0.21906250000000002,48,143,Medium
002739.SZ,0.21883333333333335,42,144,Medium
600487.SH,0.21852631578947368,19,145,Medium
